109	156	109	201	door	1	1	
121	53.3333333333	168	53.3333333333	door	1	1	
22	275.666666667	107	275.666666667	door	1	1	
121	275.666666667	166	275.666666667	door	1	1	
43	530	133	530	door	1	1	
22	170	70	203	toilet	1	1	
24	91	110	124	bathtub	1	1	
169	213	206	250	washing_basin	2	1	
124	52	164	81	entrance	1	1	
26	119	49	147	washing_basin	1	1	
169	116	206	213	cooking_counter	1	1	
171	78	206	108	washing_basin	2	1	
37.5	57	87.5	77	restroom	1	1	
137	154	187	174	kitchen	1	1	
37.5	136	87.5	156	bathroom	1	1	
38	233	88	253	bedroom	1	1	
38	392.5	88	412.5	bedroom	1	1	
134	392.5	184	412.5	bedroom	1	1	
57.5	530.5	107.5	550.5	balcony	1	1	
209.666666667	275.666666667	209.666666667	530	wall	1	1	
126.5	530	209.666666667	530	wall	1	1	
126.5	530	126.5	551	wall	1	1	
39	551	126.5	551	wall	1	1	
17	530	39	530	wall	1	1	
17	275.666666667	17	530	wall	1	1	
39	530	39	551	wall	1	1	
16.3333333333	53	16.3333333333	81.5	wall	1	1	
16.3333333333	53	109	53	wall	1	1	
115.5	53.3333333333	209.666666667	53.3333333333	wall	1	1	
209.666666667	53.3333333333	209.666666667	275.666666667	wall	1	1	
115.5	53.3333333333	115.5	275.666666667	wall	1	1	
109	53.3333333333	115.5	53.3333333333	wall	1	1	
109	53.3333333333	109	81.5	wall	1	1	
109	530	126.5	530	wall	1	1	
39	530	109	530	wall	1	1	
115.5	275.666666667	209.666666667	275.666666667	wall	1	1	
109	81.5	109	211	wall	1	1	
109	211	109	530	wall	1	1	
16.3333333333	211	109	211	wall	1	1	
16.3333333333	81.5	109	81.5	wall	1	1	
17	275.666666667	115.5	275.666666667	wall	1	1	
17	211	17	275.666666667	wall	1	1	
16.3333333333	81.5	16.3333333333	211	wall	1	1	
